User ID,Name,Email Address,Username,Date of Birth,Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions
532,Crystal Moore,gerald91@example.org,gerald91,08-11-1954,Male,Shannonport,11-01-2024,10-01-2025,Monthly,Amex,Auto-renew,Frequent,Books,Sci-Fi,Tablet,Low,3.3,8
533,Ronald Ferrell III,woconnor@example.org,woconnor,03-12-1968,Female,Klineland,19-03-2024,19-03-2025,Annual,Mastercard,Auto-renew,Frequent,Clothing,Documentary,Smartphone,High,3.5,4
534,Olivia Patton,nbrady@example.net,nbrady,14-10-1985,Male,Jeffersonfurt,25-01-2024,24-01-2025,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Sci-Fi,Smart TV,Low,4.9,5
535,Bianca Stevenson,ycarter@example.org,ycarter,08-04-1939,Male,Ricardoburgh,04-01-2024,03-01-2025,Annual,Amex,Auto-renew,Regular,Clothing,Documentary,Tablet,Low,3.4,5
536,Shane Gregory,vwalsh@example.org,vwalsh,11-02-1967,Female,East Caitlin,03-02-2024,02-02-2025,Monthly,Visa,Auto-renew,Frequent,Clothing,Documentary,Smartphone,Medium,4.2,3
537,James Nicholson,dave30@example.com,dave30,15-11-1981,Male,West Shawnside,15-02-2024,14-02-2025,Monthly,Visa,Auto-renew,Regular,Electronics,Horror,Tablet,High,3.6,8
538,Sheila Franco,savannah01@example.org,savannah01,14-10-1960,Female,East Daniel,22-03-2024,22-03-2025,Monthly,Mastercard,Manual,Frequent,Electronics,Documentary,Tablet,Medium,3.4,10
539,Cody Schultz,kblack@example.org,kblack,25-06-1980,Male,New Joshua,28-03-2024,28-03-2025,Annual,Visa,Auto-renew,Occasional,Books,Documentary,Smart TV,Medium,4.3,5
540,Travis Alvarado,jessicaallen@example.com,jessicaallen,21-05-1960,Male,Haynesburgh,13-01-2024,12-01-2025,Monthly,Visa,Manual,Frequent,Books,Horror,Smartphone,Medium,3.9,7
541,Elizabeth Espinoza,calderonjessica@example.com,calderonjessica,19-03-1952,Female,West Charlotteberg,25-01-2024,24-01-2025,Annual,Visa,Auto-renew,Frequent,Books,Comedy,Smartphone,Low,4.6,8
542,Carrie Glover,michaelhenry@example.com,michaelhenry,07-09-1963,Female,Jonesmouth,02-03-2024,02-03-2025,Monthly,Amex,Manual,Occasional,Books,Comedy,Tablet,High,4.4,7
543,Christopher Wilson,yspence@example.com,yspence,09-03-1970,Male,East Kayla,12-03-2024,12-03-2025,Monthly,Amex,Manual,Regular,Books,Documentary,Smartphone,High,3.5,10
544,Tanya Moreno,wyattdenise@example.net,wyattdenise,11-01-2006,Female,Port Jamieborough,03-02-2024,02-02-2025,Annual,Visa,Auto-renew,Occasional,Electronics,Horror,Smart TV,Medium,4.6,0
545,Jason Mckinney,gonzalezmolly@example.net,gonzalezmolly,06-08-1978,Male,Smithstad,01-04-2024,01-04-2025,Annual,Mastercard,Manual,Occasional,Books,Documentary,Tablet,Medium,4,6
546,Tommy Foster,fwilcox@example.com,fwilcox,20-02-1972,Male,New Kim,28-02-2024,27-02-2025,Annual,Visa,Manual,Regular,Clothing,Drama,Tablet,Low,3.5,8
547,Vincent Tran,gwilliams@example.net,gwilliams,30-01-1938,Male,Jasonland,16-03-2024,16-03-2025,Monthly,Mastercard,Manual,Occasional,Books,Horror,Smartphone,Low,3.7,4
548,Dr. Jose Moran,mike87@example.com,mike87,06-04-1960,Male,Palmermouth,15-03-2024,15-03-2025,Monthly,Visa,Manual,Regular,Electronics,Action,Smart TV,Medium,4.7,10
549,Randy Herring,thompsonjonathan@example.org,thompsonjonathan,21-10-1957,Female,South Angelicaburgh,07-04-2024,07-04-2025,Monthly,Visa,Manual,Regular,Clothing,Comedy,Smart TV,Medium,4.3,3
550,Carrie Tucker,rothpamela@example.com,rothpamela,14-09-1976,Male,Jamesshire,20-02-2024,19-02-2025,Monthly,Visa,Manual,Regular,Electronics,Horror,Smartphone,Low,3.3,2
551,Alan Walker,joelsaunders@example.org,joelsaunders,01-07-1954,Female,Richardchester,01-02-2024,31-01-2025,Monthly,Amex,Manual,Frequent,Clothing,Drama,Tablet,Low,4.1,9
552,Michael Black,smurray@example.com,smurray,12-08-1994,Female,Meganbury,29-02-2024,28-02-2025,Annual,Mastercard,Manual,Regular,Electronics,Drama,Smartphone,Low,3.1,3
553,Ann Schultz,thomas13@example.com,thomas13,02-03-1990,Male,Mullinsmouth,12-01-2024,11-01-2025,Monthly,Mastercard,Manual,Regular,Electronics,Action,Tablet,Medium,4.9,8
554,Richard Sanchez,bespinoza@example.com,bespinoza,21-01-1941,Male,Stanleyberg,29-01-2024,28-01-2025,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Romance,Smart TV,Medium,3,10
555,Teresa Berry,johnsonglen@example.net,johnsonglen,26-06-1986,Female,Marktown,06-03-2024,06-03-2025,Monthly,Mastercard,Manual,Occasional,Clothing,Romance,Smartphone,Medium,4.7,1
556,Phillip Williams,ewilliams@example.org,ewilliams,25-10-1986,Female,Cortezmouth,13-01-2024,12-01-2025,Annual,Visa,Auto-renew,Occasional,Electronics,Comedy,Tablet,Low,4.6,7
557,Tyler Fox,collinsrobert@example.net,collinsrobert,07-04-1974,Male,Lake Pamela,16-03-2024,16-03-2025,Monthly,Visa,Auto-renew,Regular,Books,Documentary,Smart TV,High,4.4,3
558,Ms. Sarah Scott,afoley@example.com,afoley,30-05-1997,Male,Paceshire,26-01-2024,25-01-2025,Annual,Mastercard,Auto-renew,Occasional,Electronics,Drama,Smart TV,Low,4.7,6
559,Jennifer Watson,hernandezdevin@example.net,hernandezdevin,06-08-1936,Female,Peggyville,11-04-2024,11-04-2025,Monthly,Visa,Auto-renew,Regular,Clothing,Horror,Smart TV,Medium,5,2
560,Christopher Hernandez,mark39@example.org,mark39,08-08-1992,Female,South Courtney,30-03-2024,30-03-2025,Annual,Amex,Manual,Frequent,Books,Action,Smart TV,High,4,7
561,Jennifer Olson,tcoffey@example.org,tcoffey,14-02-1977,Male,Port Suzannechester,22-02-2024,21-02-2025,Monthly,Mastercard,Manual,Frequent,Electronics,Action,Tablet,Medium,3.6,8
562,Daniel Webster,jsmith@example.com,jsmith,12-07-1955,Female,Tracyfurt,18-01-2024,17-01-2025,Monthly,Amex,Auto-renew,Frequent,Clothing,Romance,Tablet,Low,4.9,10
563,Cheryl Ball,xlynch@example.com,xlynch,14-07-1972,Female,Cynthiamouth,27-03-2024,27-03-2025,Monthly,Amex,Manual,Frequent,Clothing,Comedy,Smart TV,Medium,3.2,4
564,Ronald Humphrey,krystal73@example.com,krystal73,09-08-1968,Male,North John,01-01-2024,31-12-2024,Annual,Mastercard,Manual,Regular,Clothing,Romance,Tablet,High,3.3,1
565,Kara Evans,robert10@example.com,robert10,09-11-1986,Female,West Phillipstad,04-03-2024,04-03-2025,Monthly,Visa,Manual,Regular,Books,Drama,Smartphone,Medium,4.9,7
566,Karen Case,elizabeth77@example.com,elizabeth77,08-05-1934,Male,Port Tiffanyberg,14-03-2024,14-03-2025,Monthly,Amex,Manual,Regular,Clothing,Romance,Tablet,Low,3.6,5
567,Benjamin Murray,blankenshiprobert@example.net,blankenshiprobert,07-04-1953,Male,Gomezland,14-01-2024,13-01-2025,Annual,Mastercard,Manual,Frequent,Books,Action,Smart TV,High,3.4,10
568,Heidi Lewis,cantrellemily@example.com,cantrellemily,11-07-1999,Male,West Jamesside,09-03-2024,09-03-2025,Annual,Amex,Auto-renew,Occasional,Books,Sci-Fi,Tablet,Low,4.1,4
569,Stacey Cook,robinsonnicholas@example.com,robinsonnicholas,19-07-1953,Female,Jessicafort,20-01-2024,19-01-2025,Monthly,Mastercard,Manual,Regular,Books,Documentary,Tablet,High,4.3,7
570,Michael Rivera,pwatts@example.net,pwatts,08-03-1982,Male,Ryanville,11-03-2024,11-03-2025,Annual,Amex,Auto-renew,Frequent,Books,Comedy,Smartphone,High,4,5
571,Casey Jones,barrycarolyn@example.org,barrycarolyn,12-01-1989,Female,Saundersstad,26-01-2024,25-01-2025,Monthly,Visa,Manual,Regular,Electronics,Drama,Tablet,High,4.1,6
572,Michelle Brown,dibarra@example.com,dibarra,21-11-1977,Female,Shepherdbury,30-03-2024,30-03-2025,Annual,Mastercard,Auto-renew,Frequent,Electronics,Documentary,Tablet,Low,4.9,8
573,John Cline,trujillokirsten@example.net,trujillokirsten,30-03-1969,Female,Ballberg,21-01-2024,20-01-2025,Monthly,Mastercard,Manual,Occasional,Clothing,Documentary,Smartphone,High,4,10
574,Gregory James,monicadavies@example.org,monicadavies,24-08-1934,Female,Freemanfort,01-04-2024,01-04-2025,Annual,Mastercard,Manual,Frequent,Electronics,Romance,Tablet,High,4,4
575,Julie Galloway,xsmith@example.org,xsmith,15-06-1976,Male,West Staceyport,20-03-2024,20-03-2025,Annual,Visa,Auto-renew,Regular,Electronics,Drama,Smartphone,High,5,1
576,Larry Day,grahamjoshua@example.net,grahamjoshua,29-11-1998,Male,North Anthony,04-03-2024,04-03-2025,Annual,Amex,Manual,Frequent,Books,Comedy,Smart TV,Medium,4.9,1
577,Michael Chavez,smithkathleen@example.org,smithkathleen,02-08-1938,Female,Maryland,13-03-2024,13-03-2025,Monthly,Amex,Auto-renew,Regular,Books,Horror,Tablet,Low,4,8
578,Joe Lopez,dianaolson@example.org,dianaolson,10-10-1955,Male,Johnsonshire,15-01-2024,14-01-2025,Monthly,Visa,Auto-renew,Occasional,Books,Comedy,Smartphone,Medium,4.2,7
579,Jack Brock,seanwilliams@example.com,seanwilliams,23-06-1993,Female,North Matthew,11-03-2024,11-03-2025,Monthly,Amex,Auto-renew,Frequent,Clothing,Romance,Tablet,Medium,3.9,6
580,Jennifer Rasmussen,michael31@example.org,michael31,18-01-1956,Female,Pettystad,27-01-2024,26-01-2025,Annual,Mastercard,Manual,Occasional,Clothing,Documentary,Tablet,Low,4.1,6
581,Tanya Odom,tgray@example.org,tgray,31-05-1953,Female,Johnstonstad,11-01-2024,10-01-2025,Monthly,Visa,Auto-renew,Frequent,Electronics,Action,Smart TV,Medium,3.2,5
582,Dr. Isaac Davis,smallerik@example.net,smallerik,22-10-1971,Male,Samuelview,21-01-2024,20-01-2025,Monthly,Visa,Manual,Occasional,Books,Romance,Tablet,Low,4.2,7
583,Sean Harris,brittanymurray@example.net,brittanymurray,28-01-1975,Female,South Justin,03-01-2024,02-01-2025,Monthly,Amex,Manual,Occasional,Books,Documentary,Smartphone,High,4.2,3
584,Jesse Singleton,christina68@example.org,christina68,18-01-1979,Male,Julieside,04-02-2024,03-02-2025,Monthly,Visa,Auto-renew,Frequent,Electronics,Action,Smart TV,Low,4,4
585,Bonnie Pena,ewilson@example.net,ewilson,30-10-1949,Female,Wrighttown,16-02-2024,15-02-2025,Monthly,Mastercard,Manual,Occasional,Books,Horror,Smart TV,High,4.2,3
586,Tracy Allen,daltonrhonda@example.net,daltonrhonda,07-02-1935,Male,West Sharon,07-02-2024,06-02-2025,Monthly,Visa,Manual,Regular,Books,Horror,Tablet,High,4.5,2
587,Rachel Payne,sjones@example.org,sjones,15-05-1971,Male,Port Julieberg,04-04-2024,04-04-2025,Monthly,Amex,Auto-renew,Occasional,Books,Comedy,Smartphone,Medium,3.5,5
588,Craig Carter,wesleyday@example.net,wesleyday,27-11-1954,Male,Bensonport,08-01-2024,07-01-2025,Annual,Amex,Manual,Regular,Electronics,Sci-Fi,Smartphone,High,4.2,3
589,George Elliott,rebecca56@example.com,rebecca56,30-08-1939,Female,North Jameschester,17-02-2024,16-02-2025,Annual,Amex,Auto-renew,Frequent,Electronics,Comedy,Smartphone,Low,4.8,5
590,Sean Navarro,derek53@example.net,derek53,26-08-1972,Male,New Ryan,09-04-2024,09-04-2025,Monthly,Mastercard,Manual,Occasional,Electronics,Documentary,Tablet,High,4.7,5
591,Stephanie Palmer,daniel56@example.org,daniel56,12-12-1966,Female,Williamport,06-03-2024,06-03-2025,Monthly,Amex,Auto-renew,Frequent,Electronics,Sci-Fi,Smartphone,Low,4.3,5
592,Renee Rivas,ewatson@example.com,ewatson,18-03-1985,Female,West Ninatown,17-03-2024,17-03-2025,Annual,Visa,Manual,Occasional,Electronics,Documentary,Smart TV,High,4.5,5
593,John Anderson,amberknapp@example.net,amberknapp,04-01-1993,Male,West Rebeccaland,25-03-2024,25-03-2025,Monthly,Amex,Auto-renew,Regular,Books,Horror,Tablet,High,3,1
594,Paul Harris,bbarnes@example.com,bbarnes,29-10-1970,Female,East Jasontown,27-02-2024,26-02-2025,Monthly,Visa,Auto-renew,Occasional,Books,Comedy,Tablet,High,4,3
595,Jaime Klein,michael55@example.org,michael55,13-06-1994,Male,Clayview,03-01-2024,02-01-2025,Annual,Visa,Manual,Regular,Books,Sci-Fi,Smartphone,Low,4.8,2
596,Thomas Mitchell,wellsrobert@example.org,wellsrobert,29-09-1990,Female,East Danny,01-01-2024,31-12-2024,Annual,Amex,Manual,Occasional,Books,Horror,Smart TV,Low,3.8,0
597,Veronica Vargas,stephenyoung@example.com,stephenyoung,26-12-1953,Female,Parsonsstad,03-04-2024,03-04-2025,Annual,Mastercard,Manual,Occasional,Books,Comedy,Tablet,Low,3.6,1
598,Alexander Thompson,isaac56@example.org,isaac56,08-04-1947,Female,Port Jenniferport,09-01-2024,08-01-2025,Annual,Visa,Auto-renew,Frequent,Clothing,Drama,Smartphone,High,3.2,8
599,Linda Taylor PhD,stevenhodge@example.net,stevenhodge,18-11-2000,Male,Maryberg,30-03-2024,30-03-2025,Monthly,Visa,Manual,Regular,Electronics,Comedy,Tablet,Medium,3.3,9
600,Robert Miller,christineperez@example.org,christineperez,11-07-1939,Male,Jonesport,01-04-2024,01-04-2025,Annual,Mastercard,Manual,Occasional,Books,Documentary,Smartphone,High,4.8,6
601,Michael Hanson,nicholas77@example.org,nicholas77,28-03-1959,Male,Meghanmouth,13-03-2024,13-03-2025,Annual,Amex,Auto-renew,Occasional,Clothing,Romance,Smart TV,Low,3.2,9
602,Becky Ross,othomas@example.net,othomas,16-09-1967,Male,North Tiffany,07-04-2024,07-04-2025,Annual,Mastercard,Manual,Regular,Clothing,Romance,Smart TV,High,3.3,4
603,Margaret Barker,stephanie67@example.org,stephanie67,04-07-1951,Male,New Michael,21-02-2024,20-02-2025,Annual,Mastercard,Auto-renew,Occasional,Books,Horror,Tablet,Low,4.5,6
604,Jennifer Gill,pkrause@example.org,pkrause,19-12-1942,Male,Port Stevenstad,30-03-2024,30-03-2025,Monthly,Amex,Auto-renew,Regular,Electronics,Sci-Fi,Tablet,High,4.4,5
605,Heather Bowen,jason42@example.net,jason42,25-04-1966,Female,Delgadoside,13-01-2024,12-01-2025,Annual,Mastercard,Manual,Occasional,Electronics,Horror,Smart TV,Low,4.7,6
606,Anthony Jones,shannon69@example.net,shannon69,02-06-2004,Female,Port Jason,03-01-2024,02-01-2025,Annual,Amex,Auto-renew,Frequent,Electronics,Action,Tablet,High,3.7,4
607,Lee West,watsonjessica@example.org,watsonjessica,26-04-1957,Female,North Emily,13-03-2024,13-03-2025,Annual,Mastercard,Manual,Occasional,Books,Comedy,Smartphone,Medium,3.1,7
608,Gail Montgomery DDS,vickiramirez@example.net,vickiramirez,21-10-1943,Male,Madisonborough,10-01-2024,09-01-2025,Annual,Mastercard,Auto-renew,Frequent,Electronics,Comedy,Smart TV,Medium,3.1,5
609,Travis Flores,rogersluke@example.org,rogersluke,11-09-1940,Male,New Kathymouth,04-02-2024,03-02-2025,Monthly,Mastercard,Manual,Occasional,Electronics,Comedy,Smart TV,Low,4.5,1
610,Brooke Brock,crystal00@example.org,crystal00,31-07-1953,Male,Maryfurt,12-01-2024,11-01-2025,Monthly,Visa,Manual,Occasional,Electronics,Sci-Fi,Tablet,Low,3.9,9
611,Carolyn Nichols,garycaldwell@example.com,garycaldwell,07-01-1970,Female,North Jesseborough,19-02-2024,18-02-2025,Annual,Visa,Auto-renew,Occasional,Clothing,Action,Tablet,Medium,3.1,6
612,Ivan King,daniellewolfe@example.com,daniellewolfe,11-04-2006,Male,West John,06-03-2024,06-03-2025,Annual,Mastercard,Manual,Regular,Clothing,Documentary,Tablet,Low,3.8,6
613,Janet Barajas,sosawilliam@example.net,sosawilliam,19-03-1969,Female,Port Tracy,11-01-2024,10-01-2025,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Romance,Smart TV,High,4.7,10
614,Anthony Pace,stephen74@example.org,stephen74,01-04-1982,Female,Hughesport,26-03-2024,26-03-2025,Monthly,Visa,Auto-renew,Frequent,Books,Comedy,Smartphone,Low,3.2,4
615,Christina Finley,idouglas@example.org,idouglas,31-05-1967,Male,West Adam,14-02-2024,13-02-2025,Monthly,Amex,Auto-renew,Occasional,Electronics,Horror,Smart TV,Medium,4.6,4
616,Richard Ferguson,elizabeth89@example.com,elizabeth89,15-01-1976,Female,Michaelport,28-02-2024,27-02-2025,Monthly,Mastercard,Manual,Frequent,Electronics,Romance,Smartphone,Low,3.5,5
617,Sandra Johnson,joshua14@example.org,joshua14,12-06-1971,Female,Josephfort,08-01-2024,07-01-2025,Monthly,Mastercard,Manual,Regular,Clothing,Romance,Tablet,High,4.6,0
618,Andrew Hawkins,ericgonzales@example.org,ericgonzales,31-05-1998,Male,Amandabury,16-02-2024,15-02-2025,Monthly,Mastercard,Auto-renew,Regular,Clothing,Romance,Smart TV,Medium,3.6,0
619,Karen Cohen,christinapetty@example.com,christinapetty,28-02-1980,Male,Lisaborough,12-03-2024,12-03-2025,Annual,Mastercard,Manual,Frequent,Books,Action,Tablet,High,3.4,10
620,Robert Ewing,dkirby@example.org,dkirby,05-09-1956,Female,East Matthewburgh,28-03-2024,28-03-2025,Monthly,Visa,Auto-renew,Frequent,Books,Comedy,Smartphone,Medium,4.1,10
621,Amber Phillips,ijohnson@example.net,ijohnson,20-06-1956,Male,Nelsonville,29-03-2024,29-03-2025,Annual,Mastercard,Auto-renew,Occasional,Clothing,Horror,Tablet,High,3.2,0
622,Hannah Terry,manuelphillips@example.org,manuelphillips,22-02-1959,Female,Shawnstad,06-03-2024,06-03-2025,Monthly,Mastercard,Auto-renew,Occasional,Clothing,Documentary,Smart TV,High,4.3,5
623,Mrs. Vanessa Johnson,youngronald@example.net,youngronald,19-11-1975,Female,East Seanview,21-01-2024,20-01-2025,Annual,Mastercard,Manual,Frequent,Books,Drama,Tablet,Low,4,3
624,Elizabeth Rivera,aluna@example.com,aluna,01-05-1945,Male,West Charlesberg,25-02-2024,24-02-2025,Monthly,Visa,Auto-renew,Regular,Electronics,Action,Tablet,Low,4.4,10
625,Lisa Salinas,ipowell@example.org,ipowell,26-07-1968,Male,Danielsland,13-04-2024,13-04-2025,Monthly,Mastercard,Manual,Regular,Electronics,Action,Tablet,High,4.3,6
626,Steven Schneider,ttran@example.net,ttran,04-05-2000,Female,Brandonborough,15-03-2024,15-03-2025,Annual,Amex,Manual,Frequent,Books,Romance,Smart TV,High,4.1,6
627,Johnny Myers,james36@example.org,james36,17-01-1954,Male,North Brian,19-02-2024,18-02-2025,Monthly,Amex,Auto-renew,Occasional,Books,Horror,Tablet,High,4.8,5
628,Joshua Lee,lydia35@example.org,lydia35,07-05-1971,Female,Port Christopher,06-01-2024,05-01-2025,Monthly,Amex,Manual,Occasional,Books,Documentary,Smartphone,High,3.5,2
629,David Acosta,kyle46@example.com,kyle46,18-02-1995,Female,Port Raymondmouth,13-03-2024,13-03-2025,Annual,Visa,Manual,Frequent,Clothing,Drama,Tablet,High,3.3,1
630,Mary Robinson,vrobinson@example.net,vrobinson,02-07-1958,Female,Masseyport,02-02-2024,01-02-2025,Monthly,Amex,Manual,Regular,Electronics,Romance,Smartphone,High,3.1,2
631,Randy Kidd,bryandiaz@example.com,bryandiaz,16-06-1965,Female,South Jonathanshire,08-02-2024,07-02-2025,Monthly,Visa,Manual,Occasional,Clothing,Sci-Fi,Smart TV,High,3.7,9
632,Margaret Hall,zwilson@example.com,zwilson,19-09-1983,Male,Freemanland,24-01-2024,23-01-2025,Annual,Visa,Manual,Regular,Clothing,Drama,Tablet,Medium,3.7,5
633,Tony Davis,kellyjerry@example.net,kellyjerry,05-03-1972,Male,South Brandonmouth,16-03-2024,16-03-2025,Monthly,Mastercard,Auto-renew,Regular,Clothing,Sci-Fi,Smartphone,High,4.1,0
634,Aaron Guzman,dawnwilliamson@example.org,dawnwilliamson,09-11-1978,Male,Joshuamouth,04-02-2024,03-02-2025,Monthly,Mastercard,Auto-renew,Regular,Books,Documentary,Tablet,High,4,6
635,Kenneth Russell,joelhampton@example.org,joelhampton,12-11-1984,Female,East Michaelstad,13-04-2024,13-04-2025,Monthly,Visa,Auto-renew,Occasional,Electronics,Drama,Smart TV,High,4.2,0
636,Michael Anderson,bridgesjose@example.org,bridgesjose,31-10-1980,Male,Cannonshire,07-01-2024,06-01-2025,Annual,Amex,Manual,Regular,Clothing,Drama,Tablet,Medium,4.2,9
637,Mckenzie Smith,mark90@example.net,mark90,22-09-1977,Female,Wilsonborough,09-04-2024,09-04-2025,Annual,Mastercard,Manual,Occasional,Clothing,Romance,Tablet,High,4,1
638,Ryan Williams,luke34@example.com,luke34,09-10-1999,Male,South Timothy,18-01-2024,17-01-2025,Annual,Mastercard,Auto-renew,Frequent,Books,Drama,Smartphone,High,4,8
639,Michael Rogers,brandon68@example.com,brandon68,11-05-1935,Male,Patriciaton,13-02-2024,12-02-2025,Annual,Amex,Manual,Occasional,Clothing,Action,Smart TV,Medium,3.6,2
640,Paula Wright,kscott@example.org,kscott,21-01-2004,Female,North Brian,08-02-2024,07-02-2025,Monthly,Amex,Manual,Frequent,Clothing,Action,Smart TV,Medium,3.3,7
641,Kelly Blevins,patriciabowman@example.org,patriciabowman,26-12-1935,Male,East Thomas,17-01-2024,16-01-2025,Monthly,Visa,Manual,Regular,Books,Documentary,Smart TV,Medium,3.8,5
642,Jacob Schultz,luisharrison@example.net,luisharrison,23-08-1949,Female,Davisport,03-04-2024,03-04-2025,Monthly,Mastercard,Manual,Occasional,Books,Romance,Smart TV,Low,3,6
643,Scott Cannon,nthompson@example.com,nthompson,27-02-1967,Male,Lewisfurt,09-04-2024,09-04-2025,Monthly,Mastercard,Manual,Occasional,Electronics,Horror,Tablet,High,4.6,0
644,Dean Frazier,monicabentley@example.org,monicabentley,22-08-1974,Male,Johnchester,21-02-2024,20-02-2025,Monthly,Amex,Auto-renew,Regular,Books,Romance,Smart TV,High,3.8,8
645,Amy Williams,isaac58@example.org,isaac58,05-01-1995,Male,Port Codyland,21-03-2024,21-03-2025,Annual,Amex,Manual,Regular,Books,Action,Tablet,Medium,4.8,0
646,Alison Stephens,tonifernandez@example.org,tonifernandez,30-11-1933,Male,Douglasburgh,07-01-2024,06-01-2025,Monthly,Mastercard,Manual,Occasional,Books,Sci-Fi,Tablet,Low,3.7,4
647,Scott Cook,briangreen@example.com,briangreen,02-11-1994,Female,Ethanburgh,18-03-2024,18-03-2025,Annual,Amex,Manual,Occasional,Electronics,Horror,Smart TV,Low,4,6
648,Mrs. Nicole Gallegos,seanvaldez@example.com,seanvaldez,27-03-1968,Male,North Robert,21-03-2024,21-03-2025,Monthly,Mastercard,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,High,4.3,7
649,Debra Moore,donna99@example.com,donna99,30-01-1945,Female,Soniabury,06-03-2024,06-03-2025,Monthly,Amex,Auto-renew,Regular,Electronics,Romance,Smart TV,Medium,3.9,3
650,Kelly Cox,hodgelauren@example.org,hodgelauren,06-07-1991,Female,Carlosborough,24-01-2024,23-01-2025,Annual,Mastercard,Manual,Occasional,Clothing,Romance,Smart TV,Low,4.2,0
651,Kaitlin Webb,htodd@example.org,htodd,01-05-1936,Male,New Ann,11-03-2024,11-03-2025,Annual,Mastercard,Manual,Occasional,Books,Horror,Tablet,High,4.9,1
652,Antonio Baldwin,molly29@example.com,molly29,31-03-1954,Male,Port Brendafort,15-03-2024,15-03-2025,Annual,Visa,Auto-renew,Regular,Clothing,Sci-Fi,Smart TV,Medium,4.2,2
653,Heather Wright,marissa28@example.com,marissa28,21-03-1969,Female,Lake Meagan,07-04-2024,07-04-2025,Annual,Visa,Manual,Frequent,Books,Comedy,Smart TV,Medium,4.8,10
654,Matthew Zavala,linryan@example.org,linryan,04-03-1996,Male,Bradleyview,28-03-2024,28-03-2025,Monthly,Mastercard,Auto-renew,Occasional,Books,Drama,Tablet,Medium,4.5,8
655,Robert Wong,eric57@example.com,eric57,04-09-1993,Female,West Richard,21-01-2024,20-01-2025,Annual,Mastercard,Manual,Occasional,Clothing,Action,Smartphone,Medium,3.1,3
656,Ryan Peterson,bradleyanderson@example.com,bradleyanderson,25-05-1966,Male,New Michael,16-01-2024,15-01-2025,Monthly,Visa,Auto-renew,Occasional,Clothing,Sci-Fi,Smart TV,Low,4.5,10
657,David Alvarez,erin34@example.org,erin34,18-09-1992,Female,Jessicafort,17-02-2024,16-02-2025,Annual,Visa,Auto-renew,Occasional,Books,Horror,Tablet,Low,4.2,3
658,Mrs. Penny Frost,belladam@example.net,belladam,07-02-1940,Female,East Timothyside,04-01-2024,03-01-2025,Monthly,Mastercard,Manual,Regular,Clothing,Sci-Fi,Smart TV,High,3.7,5
659,Dawn Simon,michaellewis@example.net,michaellewis,23-05-1973,Female,Villaburgh,04-02-2024,03-02-2025,Monthly,Mastercard,Manual,Frequent,Books,Drama,Smart TV,Low,4.1,5
660,Paul Bolton,wallrandy@example.net,wallrandy,08-03-2004,Female,Lisamouth,31-03-2024,31-03-2025,Annual,Visa,Manual,Regular,Books,Horror,Tablet,Medium,4.3,5
661,Denise Oneill,shannonmorton@example.org,shannonmorton,29-02-1964,Male,East Monica,31-01-2024,30-01-2025,Annual,Visa,Auto-renew,Regular,Electronics,Drama,Smartphone,High,4.3,2
662,Tracey Scott,tateamanda@example.org,tateamanda,31-05-1938,Female,Elizabethhaven,09-03-2024,09-03-2025,Monthly,Amex,Auto-renew,Frequent,Electronics,Romance,Smartphone,High,3.4,10
663,Heather Moreno,dominiqueaguilar@example.net,dominiqueaguilar,24-08-1933,Female,Andrewview,06-02-2024,05-02-2025,Monthly,Amex,Auto-renew,Frequent,Electronics,Horror,Tablet,High,4.8,10
664,Pamela Briggs,tonyjenkins@example.com,tonyjenkins,08-05-1946,Male,East Gregoryshire,14-02-2024,13-02-2025,Monthly,Amex,Manual,Regular,Clothing,Action,Smart TV,Medium,5,1
665,Douglas Sharp,jlee@example.com,jlee,07-09-1969,Female,Romeroshire,02-02-2024,01-02-2025,Annual,Visa,Manual,Frequent,Books,Horror,Smartphone,Medium,3.8,6
666,Derrick Burton,sharongray@example.net,sharongray,26-09-1957,Male,New Richard,03-02-2024,02-02-2025,Annual,Amex,Auto-renew,Frequent,Clothing,Action,Tablet,Low,3.1,8
667,Mary Reid,nancypena@example.net,nancypena,08-01-1946,Female,Lake Joanneside,17-02-2024,16-02-2025,Monthly,Amex,Manual,Occasional,Books,Horror,Smart TV,Medium,4.1,1
668,Nicole West,ryanadkins@example.com,ryanadkins,23-08-1993,Male,North Kyletown,01-03-2024,01-03-2025,Monthly,Mastercard,Manual,Regular,Clothing,Drama,Smart TV,Low,4.6,5
669,Roy Stone,joseph98@example.org,joseph98,16-06-1952,Male,Lake Ericborough,03-01-2024,02-01-2025,Monthly,Visa,Auto-renew,Occasional,Books,Horror,Tablet,Low,4.4,8
670,James Warner,wendy53@example.com,wendy53,19-02-1963,Female,Bowenland,21-03-2024,21-03-2025,Monthly,Visa,Manual,Frequent,Clothing,Documentary,Smartphone,Low,3,2
671,Larry Gay,walkerjessica@example.com,walkerjessica,14-11-2002,Female,New Jeffery,08-02-2024,07-02-2025,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Romance,Smartphone,High,3.6,2
